cholera vaccine inactivated whole cell,ATC,595252,1,
cholera vaccine inactivated whole cell,ATC,636164,3,
cholera vaccine inactivated whole cell,ATC,636167,4,
cholera vaccine inactivated whole cell,ATC,43560345,2,
diphtheria,ATC,529303,1,
diphtheria toxoid,ATC,529303,1,
hemophilus influenzae B,ATC,529118,6,
hemophilus influenzae B,ATC,530007,5,
hemophilus influenzae B,ATC,586306,4,
hemophilus influenzae B,ATC,19048700,2,
hemophilus influenzae B,ATC,19113026,1,
hemophilus influenzae B,ATC,43012721,3,
hemophilus influenzae B combinations with toxoids,ATC,529118,1,
hemophilus influenzae B combinations with toxoids,ATC,19048700,2,
hemophilus influenzae B combinations with toxoids,ATC,19113026,3,
hemophilus influenzae B combinations with toxoids,ATC,43012721,4,
hemophilus influenzae B conjugated,ATC,529118,3,
hemophilus influenzae B conjugated,ATC,530007,2,
hemophilus influenzae B conjugated,ATC,19048700,1,
hemophilus influenzae B conjugated,ATC,19113026,4,
hemophilus influenzae B conjugated,ATC,43012721,5,
hemophilus influenzae B conjugated,ATC,586306,6,
hepatitis A,ATC,529660,2,
hepatitis A,ATC,596876,1,
hepatitis A,ATC,44814322,3,
hepatitis B,ATC,528323,1,
hepatitis B,ATC,43532382,2,
hepatitis B,ATC,43532406,3,
measles live attenuated,ATC,532272,2,
measles live attenuated,ATC,590675,1,
measles live attenuated,ATC,594249,3,
measles live attenuated,ATC,42903450,4,
meningococcus A,ATC,509079,1,
meningococcus A,ATC,528271,2,
meningococcus A,ATC,40173198,3,
meningococcus A purified polysaccharides antigen,ATC,509079,1,
meningococcus A purified polysaccharides antigen,ATC,528271,2,
meningococcus A purified polysaccharides antigen,ATC,40173198,3,
meningococcus A purified polysaccharides antigen conjugated,ATC,528271,1,
meningococcus A purified polysaccharides antigen conjugated,ATC,40173198,2,
meningococcus A purified polysaccharides antigen conjugated,ATC,509079,3,
meningococcus B multicomponent vaccine,ATC,19016540,2,
meningococcus B multicomponent vaccine,ATC,45775636,1,
meningococcus B outer membrane vesicle vaccine,ATC,19016540,2,
meningococcus B outer membrane vesicle vaccine,ATC,45775636,1,
meningococcus C,ATC,509081,1,
meningococcus C,ATC,528295,2,
meningococcus C,ATC,40173205,3,
meningococcus C conjugated,ATC,528295,1,
meningococcus C conjugated,ATC,40173205,2,
meningococcus C conjugated,ATC,509081,3,
meningococcus C purified polysaccharides antigen,ATC,509081,1,
meningococcus C purified polysaccharides antigen,ATC,528295,2,
meningococcus C purified polysaccharides antigen,ATC,40173205,3,
meningococcus C purified polysaccharides antigen conjugated,ATC,528295,1,
meningococcus C purified polysaccharides antigen conjugated,ATC,40173205,2,
meningococcus C purified polysaccharides antigen conjugated,ATC,509081,3,
meningococcus W-135 purified polysaccharides antigen,ATC,514012,1,
meningococcus W-135 purified polysaccharides antigen,ATC,528297,2,
meningococcus W-135 purified polysaccharides antigen,ATC,40173207,3,
meningococcus W-135 purified polysaccharides antigen conjugated,ATC,514012,3,
meningococcus W-135 purified polysaccharides antigen conjugated,ATC,528297,1,
meningococcus W-135 purified polysaccharides antigen conjugated,ATC,40173207,2,
meningococcus Y purified polysaccharides antigen,ATC,514015,1,
meningococcus Y purified polysaccharides antigen,ATC,528301,2,
meningococcus Y purified polysaccharides antigen,ATC,40173209,3,
meningococcus Y purified polysaccharides antigen conjugated,ATC,514015,3,
meningococcus Y purified polysaccharides antigen conjugated,ATC,528301,1,
meningococcus Y purified polysaccharides antigen conjugated,ATC,40173209,2,
mumps immunoglobulin,ATC,0,0,
mumps live attenuated,ATC,523620,2,
mumps live attenuated,ATC,529713,1,
mumps live attenuated,ATC,43532049,3,
other meningococcal monovalent purified polysaccharides antigen,ATC,515671,6,
other meningococcal monovalent purified polysaccharides antigen,ATC,19016540,1,
other meningococcal monovalent purified polysaccharides antigen,ATC,45775636,2,
other meningococcal monovalent purified polysaccharides antigen,ATC,509081,3,
other meningococcal monovalent purified polysaccharides antigen,ATC,514012,4,
other meningococcal monovalent purified polysaccharides antigen,ATC,514015,5,
other meningococcal polyvalent purified polysaccharides antigen,ATC,515671,7,
other meningococcal polyvalent purified polysaccharides antigen,ATC,19016540,1,
other meningococcal polyvalent purified polysaccharides antigen,ATC,45775636,2,
other meningococcal polyvalent purified polysaccharides antigen,ATC,509081,3,
other meningococcal polyvalent purified polysaccharides antigen,ATC,514012,4,
other meningococcal polyvalent purified polysaccharides antigen,ATC,514015,5,
other meningococcal polyvalent purified polysaccharides antigen,ATC,509079,6,
paratyphi types,ATC,0,0,
pertussis,ATC,529218,2,
pertussis,ATC,19033193,1,
pertussis,ATC,46221326,3,
pertussis immunoglobulin,ATC,0,0,
pertussis inactivated whole cell,ATC,19033193,1,
pertussis inactivated whole cell,ATC,46221326,2,
pertussis inactivated whole cell combinations with toxoids,ATC,19033193,1,
pertussis inactivated whole cell combinations with toxoids,ATC,46221326,2,
pertussis purified antigen,ATC,529218,1,
pertussis purified antigen,ATC,19033193,2,
pertussis purified antigen,ATC,46221326,3,
pertussis purified antigen combinations with toxoids,ATC,529218,1,
pertussis purified antigen combinations with toxoids,ATC,19033193,2,
pertussis purified antigen combinations with toxoids,ATC,46221326,3,
poliomyelitis,ATC,523283,1,
poliomyelitis,ATC,523365,2,
poliomyelitis,ATC,523367,3,
poliomyelitis,ATC,43532418,4,
rubella,ATC,523212,2,
rubella,ATC,19136026,1,
rubella,ATC,43012953,3,
rubella immunoglobulin,ATC,0,0,
rubella live attenuated,ATC,523212,1,
rubella live attenuated,ATC,19136026,2,
rubella live attenuated,ATC,43012953,3,
tetanus,ATC,529411,1,
tetanus antitoxin,ATC,35604680,1,
tetanus immunoglobulin,ATC,35604680,1,
tetanus toxoid,ATC,529411,1,
typhoid,ATC,523202,4,
typhoid,ATC,532881,3,
typhoid,ATC,19052554,2,
typhoid,ATC,35603020,1,
typhoid inactivated whole cell,ATC,35603020,1,
typhoid oral live attenuated,ATC,523202,1,
typhoid oral live attenuated,ATC,19052554,2,
typhoid oral live attenuated,ATC,35603020,3,
typhoid purified polysaccharide antigen,ATC,532881,1,
typhoid purified polysaccharide antigen,ATC,19052554,3,
typhoid purified polysaccharide antigen,ATC,35603020,2,
typhoid vaccine inactivated whole cell,ATC,35603020,1,
typhus exanthematicus inactivated whole cell,ATC,35603020,1,
varicella live attenuated,ATC,42800027,1,
varicella live attenuated,ATC,532454,2,
